Stand,Year/Age,Species,TreeNo,Live/Dead,TreeStat,CrwnClass,DBH,Height,CRadius1,CRatio1,TPA,X,Y
SouthernPine,2000,PITA,504,0,1,1,16,80,10,0.45,1,145.13,78.18
SouthernPine,2000,PITA,505,0,1,1,16,80,10,0.45,1,165.56,21.01
SouthernPine,2000,PITA,506,0,1,1,16,80,10,0.45,1,141.21,183.59
SouthernPine,2000,PITA,507,0,1,1,16,80,10,0.45,1,40.26,86.31
SouthernPine,2000,PITA,508,0,1,1,16,80,10,0.45,1,90.78,160.65
SouthernPine,2000,PITA,509,0,1,1,16,80,10,0.45,1,55.07,46.63
SouthernPine,2000,PITA,510,0,1,1,16,80,10,0.45,1,38.25,46.54
SouthernPine,2000,PITA,511,0,1,1,16,80,10,0.45,1,6.71,157.99
SouthernPine,2000,PITA,512,0,1,1,16,80,10,0.45,1,67.54,179.29
SouthernPine,2000,PITA,513,0,1,1,16,80,10,0.45,1,47.59,28.62
SouthernPine,2000,PITA,514,0,1,1,16,80,10,0.45,1,108.78,100.06
SouthernPine,2000,PITA,515,0,1,1,16,80,10,0.45,1,204.22,64.03
SouthernPine,2000,PITA,601,0,1,1,17,85,10.63,0.45,1,7.1,24.43
SouthernPine,2000,PITA,602,0,1,1,17,85,10.63,0.45,1,157.57,28.51
SouthernPine,2000,PITA,603,0,1,1,17,85,10.63,0.45,1,63.32,59.19
SouthernPine,2000,PITA,604,0,1,1,17,85,10.63,0.45,1,124.59,175.62
SouthernPine,2000,PITA,605,0,1,1,17,85,10.63,0.45,1,159.01,100.85
SouthernPine,2000,PITA,606,0,1,1,17,85,10.63,0.45,1,114.36,124.24
SouthernPine,2000,PITA,607,0,1,1,17,85,10.63,0.45,1,192.37,205.83
SouthernPine,2000,PITA,608,0,1,1,17,85,10.63,0.45,1,75.54,93.93
SouthernPine,2000,PITA,609,0,1,1,17,85,10.63,0.45,1,146.97,174.37
SouthernPine,2000,PITA,610,0,1,1,17,85,10.63,0.45,1,96.24,95.55
SouthernPine,2000,PITA,611,0,1,1,17,85,10.63,0.45,1,3.3,25.63
SouthernPine,2000,PITA,612,0,1,1,17,85,10.63,0.45,1,27.25,13.2
SouthernPine,2000,PITA,613,0,1,1,17,85,10.63,0.45,1,122.2,105.83
SouthernPine,2000,PITA,614,0,1,1,17,85,10.63,0.45,1,206.13,157.98
SouthernPine,2000,PITA,615,0,1,1,17,85,10.63,0.45,1,2.88,200.25
SouthernPine,2000,PITA,701,0,1,1,18,90,11.25,0.45,1,136.71,196.5
SouthernPine,2000,PITA,702,0,1,1,18,90,11.25,0.45,1,29.52,165.66
SouthernPine,2000,PITA,703,0,1,1,18,90,11.25,0.45,1,156.99,19.2
SouthernPine,2000,PITA,704,0,1,1,18,90,11.25,0.45,1,124.45,195.69
SouthernPine,2000,PITA,705,0,1,1,18,90,11.25,0.45,1,13.68,31.99
SouthernPine,2000,PITA,706,0,1,1,18,90,11.25,0.45,1,131.58,90.18
SouthernPine,2000,PITA,707,0,1,1,18,90,11.25,0.45,1,5.87,32.36
SouthernPine,2000,PITA,708,0,1,1,18,90,11.25,0.45,1,42.47,44.83
SouthernPine,2000,PITA,709,0,1,1,18,90,11.25,0.45,1,83.83,25.22
SouthernPine,2000,PITA,710,0,1,1,18,90,11.25,0.45,1,65.17,25.33
SouthernPine,2000,PITA,711,0,1,1,18,90,11.25,0.45,1,48.99,42.74
SouthernPine,2000,PITA,712,0,1,1,18,90,11.25,0.45,1,116.27,32.82
SouthernPine,2000,PITA,713,0,1,1,18,90,11.25,0.45,1,15.9,16.54
SouthernPine,2000,PITA,714,0,1,1,18,90,11.25,0.45,1,204.35,2.31
SouthernPine,2000,PITA,715,0,1,1,18,90,11.25,0.45,1,87.83,121.72
SouthernPine,2000,PITA,801,0,1,1,19,95,11.88,0.45,1,26.88,172.9
SouthernPine,2000,PITA,802,0,1,1,19,95,11.88,0.45,1,84.82,124.84
SouthernPine,2000,PITA,803,0,1,1,19,95,11.88,0.45,1,87.62,42.55
SouthernPine,2000,PITA,804,0,1,1,19,95,11.88,0.45,1,163.01,42.49
SouthernPine,2000,PITA,805,0,1,1,19,95,11.88,0.45,1,140.16,101.44
SouthernPine,2000,PITA,806,0,1,1,19,95,11.88,0.45,1,18.33,13.54
SouthernPine,2000,PITA,807,0,1,1,19,95,11.88,0.45,1,200.44,52.74
SouthernPine,2000,PITA,808,0,1,1,19,95,11.88,0.45,1,30.13,14.04
SouthernPine,2000,PITA,809,0,1,1,19,95,11.88,0.45,1,143.7,21.7
SouthernPine,2000,PITA,810,0,1,1,19,95,11.88,0.45,1,150.34,44
SouthernPine,2000,PITA,811,0,1,1,19,95,11.88,0.45,1,192.72,139.5
SouthernPine,2000,PITA,812,0,1,1,19,95,11.88,0.45,1,103.38,156.89
SouthernPine,2000,PITA,813,0,1,1,19,95,11.88,0.45,1,200.21,179.54
SouthernPine,2000,PITA,814,0,1,1,19,95,11.88,0.45,1,57.85,122.12
SouthernPine,2000,PITA,815,0,1,1,19,95,11.88,0.45,1,32.2,85.01
SouthernPine,2000,PITA,901,0,1,1,20,100,12.5,0.45,1,92.46,188.52
SouthernPine,2000,PITA,902,0,1,1,20,100,12.5,0.45,1,3.83,129.42
SouthernPine,2000,PITA,903,0,1,1,20,100,12.5,0.45,1,133.75,12.89
SouthernPine,2000,PITA,904,0,1,1,20,100,12.5,0.45,1,109.32,81.07
SouthernPine,2000,PITA,905,0,1,1,20,100,12.5,0.45,1,155.98,157.38
SouthernPine,2000,PITA,906,0,1,1,20,100,12.5,0.45,1,143.23,97.55
SouthernPine,2000,PITA,907,0,1,1,20,100,12.5,0.45,1,14.02,74.4
SouthernPine,2000,PITA,908,0,1,1,20,100,12.5,0.45,1,83.82,204.79
SouthernPine,2000,PITA,909,0,1,1,20,100,12.5,0.45,1,167.49,128.28
SouthernPine,2000,PITA,910,0,1,1,20,100,12.5,0.45,1,109.41,38.15
SouthernPine,2000,PITA,911,0,1,1,20,100,12.5,0.45,1,150.55,104.41
SouthernPine,2000,PITA,912,0,1,1,20,100,12.5,0.45,1,38.12,104.01
SouthernPine,2000,PITA,1001,0,1,1,21,105,13.13,0.45,1,30.02,77.56
SouthernPine,2000,PITA,1002,0,1,1,21,105,13.13,0.45,1,78.18,157.76
SouthernPine,2000,PITA,1003,0,1,1,21,105,13.13,0.45,1,28.58,74.36
SouthernPine,2000,PITA,1004,0,1,1,21,105,13.13,0.45,1,162.79,150.76
SouthernPine,2000,PITA,1005,0,1,1,21,105,13.13,0.45,1,200.35,207.66
SouthernPine,2000,PITA,1006,0,1,1,21,105,13.13,0.45,1,176.2,181.23
SouthernPine,2000,PITA,1007,0,1,1,21,105,13.13,0.45,1,158.96,24.48
SouthernPine,2000,PITA,1008,0,1,1,21,105,13.13,0.45,1,22.53,78.07
SouthernPine,2000,PITA,1009,0,1,1,21,105,13.13,0.45,1,116.23,3.43
SouthernPine,2000,PITA,1010,0,1,1,21,105,13.13,0.45,1,166.43,85.73
SouthernPine,2000,PITA,1011,0,1,1,21,105,13.13,0.45,1,85.94,168.69
SouthernPine,2000,PITA,1101,0,1,1,22,110,13.75,0.45,1,129.03,133.45
SouthernPine,2000,PITA,1102,0,1,1,22,110,13.75,0.45,1,188.58,14.63
SouthernPine,2000,PITA,1103,0,1,1,22,110,13.75,0.45,1,182.07,205.59
SouthernPine,2000,PITA,1104,0,1,1,22,110,13.75,0.45,1,169.65,160.57
SouthernPine,2000,PITA,1105,0,1,1,22,110,13.75,0.45,1,158.4,135.14
SouthernPine,2000,PITA,1106,0,1,1,22,110,13.75,0.45,1,18.97,73.44
SouthernPine,2000,PITA,1107,0,1,1,22,110,13.75,0.45,1,202.36,78.89
SouthernPine,2000,PITA,1108,0,1,1,22,110,13.75,0.45,1,13.28,37.09
SouthernPine,2000,PITA,1109,0,1,1,22,110,13.75,0.45,1,104.61,206.11
SouthernPine,2000,PITA,1201,0,1,1,23,115,14.38,0.45,1,182.15,28.4
SouthernPine,2000,PITA,1202,0,1,1,23,115,14.38,0.45,1,157.35,20.3
SouthernPine,2000,PITA,1203,0,1,1,23,115,14.38,0.45,1,35.96,113.74
SouthernPine,2000,PITA,1204,0,1,1,23,115,14.38,0.45,1,174.58,40.11
SouthernPine,2000,PITA,1205,0,1,1,23,115,14.38,0.45,1,24.11,59.03
SouthernPine,2000,PITA,1206,0,1,1,23,115,14.38,0.45,1,32.8,177.38
SouthernPine,2000,PITA,1207,0,1,1,23,115,14.38,0.45,1,109.59,40.82
SouthernPine,2000,PITA,1301,0,1,1,24,120,15,0.45,1,54.29,55
SouthernPine,2000,PITA,1302,0,1,1,24,120,15,0.45,1,73.74,151.5
SouthernPine,2000,PITA,1303,0,1,1,24,120,15,0.45,1,184.75,6.29
SouthernPine,2000,PITA,1304,0,1,1,24,120,15,0.45,1,83.12,166.6
SouthernPine,2000,PITA,1305,0,1,1,24,120,15,0.45,1,62.07,29.72
SouthernPine,2000,PIEC2,1401,0,1,1,14,70,8.75,0.45,1,50.56,203.51
SouthernPine,2000,PIEC2,1402,0,1,1,14,70,8.75,0.45,1,186.1,54.34
SouthernPine,2000,PIEC2,1403,0,1,1,14,70,8.75,0.45,1,97.16,174.16
SouthernPine,2000,PIEC2,1404,0,1,1,14,70,8.75,0.45,1,204.99,47.92
SouthernPine,2000,PIEC2,1405,0,1,1,14,70,8.75,0.45,1,18.18,129.15
SouthernPine,2000,PIEC2,1406,0,1,1,14,70,8.75,0.45,1,189.74,177.47
SouthernPine,2000,PIEC2,1407,0,1,1,14,70,8.75,0.45,1,59.64,25.08
SouthernPine,2000,PIEC2,1408,0,1,1,14,70,8.75,0.45,1,73.97,183.43
SouthernPine,2000,PIEC2,1409,0,1,1,14,70,8.75,0.45,1,69.66,173.46
SouthernPine,2000,PIEC2,1410,0,1,1,14,70,8.75,0.45,1,194.53,64.49
SouthernPine,2000,PIEC2,1411,0,1,1,14,70,8.75,0.45,1,170.14,64.36
SouthernPine,2000,PIEC2,1412,0,1,1,14,70,8.75,0.45,1,206.92,185.69
SouthernPine,2000,PIEC2,1413,0,1,1,14,70,8.75,0.45,1,13.01,178.44
SouthernPine,2000,PIEC2,1414,0,1,1,14,70,8.75,0.45,1,150.2,180.79
SouthernPine,2000,PIEC2,1415,0,1,1,14,70,8.75,0.45,1,185.88,76.64
SouthernPine,2000,PIEC2,1501,0,1,1,8,40,5,0.45,1,96.44,4.01
SouthernPine,2000,PIEC2,1502,0,1,1,8,40,5,0.45,1,105.15,107.33
SouthernPine,2000,PIEC2,1503,0,1,1,8,40,5,0.45,1,62.18,195.53
SouthernPine,2000,PIEC2,1504,0,1,1,8,40,5,0.45,1,155.69,20.26
SouthernPine,2000,PIEC2,1505,0,1,1,8,40,5,0.45,1,182.13,102.15
SouthernPine,2000,PIEC2,1506,0,1,1,8,40,5,0.45,1,108.21,149.46
SouthernPine,2000,PIEC2,1507,0,1,1,8,40,5,0.45,1,96.44,135.02
SouthernPine,2000,PIEC2,1508,0,1,1,8,40,5,0.45,1,105.49,132.05
SouthernPine,2000,PIEC2,1509,0,1,1,8,40,5,0.45,1,68.03,95.19
SouthernPine,2000,PIEC2,1510,0,1,1,8,40,5,0.45,1,23.51,195.99
SouthernPine,2000,PIEC2,1511,0,1,1,8,40,5,0.45,1,55.27,68.18
SouthernPine,2000,PIEC2,1512,0,1,1,8,40,5,0.45,1,143.1,193.41
SouthernPine,2000,PIEC2,1513,0,1,1,8,40,5,0.45,1,95.41,112.67
SouthernPine,2000,PIEC2,1514,0,1,1,8,40,5,0.45,1,196.45,154.44
SouthernPine,2000,PIEC2,1515,0,1,1,8,40,5,0.45,1,111.2,1.66
